loan_id,enterprise_id,installment_no,due_date,emi_scheduled,subvention,emi_payable,interest_component,principal_component,closing_balance
LN00011,ENT0001,15,2023-08-14,1329.0,0.0,1329.0,394.65,934.35,36952.39
LN00011,ENT0001,16,2023-09-14,1329.0,0.0,1329.0,384.92,944.08,36008.31
LN00011,ENT0001,17,2023-10-14,1329.0,0.0,1329.0,375.09,953.91,35054.4
LN00011,ENT0001,18,2023-11-14,1329.0,0.0,1329.0,365.15,963.85,34090.55
LN00011,ENT0001,19,2023-12-14,1329.0,0.0,1329.0,355.11,973.89,33116.66
LN00011,ENT0001,20,2024-01-14,1329.0,0.0,1329.0,344.97,984.03,32132.63
LN00011,ENT0001,21,2024-02-14,1329.0,0.0,1329.0,334.71,994.29,31138.34
LN00011,ENT0001,22,2024-03-14,1329.0,0.0,1329.0,324.36,1004.64,30133.7
LN00011,ENT0001,23,2024-04-14,1329.0,0.0,1329.0,313.89,1015.11,29118.59
LN00011,ENT0001,24,2024-05-14,1329.0,0.0,1329.0,303.32,1025.68,28092.91
LN00011,ENT0001,25,2024-06-14,1329.0,0.0,1329.0,292.63,1036.37,27056.54
LN00011,ENT0001,26,2024-07-14,1329.0,0.0,1329.0,281.84,1047.16,26009.38
LN00011,ENT0001,27,2024-08-14,1329.0,0.0,1329.0,270.93,1058.07,24951.31
LN00011,ENT0001,28,2024-09-14,1329.0,0.0,1329.0,259.91,1069.09,23882.22
LN00011,ENT0001,29,2024-10-14,1329.0,0.0,1329.0,248.77,1080.23,22802.0
LN00011,ENT0001,30,2024-11-14,1329.0,265.8,1063.2,237.52,1091.48,21710.52
LN00011,ENT0001,31,2024-12-14,1329.0,265.8,1063.2,226.15,1102.85,20607.67
LN00011,ENT0001,32,2025-01-14,1329.0,265.8,1063.2,214.66,1114.34,19493.33
LN00011,ENT0001,33,2025-02-14,1329.0,265.8,1063.2,203.06,1125.94,18367.39
LN00011,ENT0001,34,2025-03-14,1329.0,265.8,1063.2,191.33,1137.67,17229.72
LN00011,ENT0001,35,2025-04-14,1329.0,265.8,1063.2,179.48,1149.52,16080.19
LN00011,ENT0001,36,2025-05-14,1329.0,265.8,1063.2,167.5,1161.5,14918.69
LN00011,ENT0001,37,2025-06-14,1329.0,265.8,1063.2,155.4,1173.6,13745.1
LN00011,ENT0001,38,2025-07-14,1329.0,265.8,1063.2,143.18,1185.82,12559.27
LN00011,ENT0001,39,2025-08-14,1329.0,265.8,1063.2,130.83,1198.17,11361.1
LN00011,ENT0001,40,2025-09-14,1329.0,265.8,1063.2,118.34,1210.66,10150.45
LN00011,ENT0001,41,2025-10-14,1329.0,265.8,1063.2,105.73,1223.27,8927.18
LN00011,ENT0001,42,2025-11-14,1329.0,265.8,1063.2,92.99,1236.01,7691.17
LN00011,ENT0001,43,2025-12-14,1329.0,265.8,1063.2,80.12,1248.88,6442.29
LN00011,ENT0001,44,2026-01-14,1329.0,265.8,1063.2,67.11,1261.89,5180.39
LN00011,ENT0001,45,2026-02-14,1329.0,265.8,1063.2,53.96,1275.04,3905.36
LN00011,ENT0001,46,2026-03-14,1329.0,265.8,1063.2,40.68,1288.32,2617.04
LN00011,ENT0001,47,2026-04-14,1329.0,265.8,1063.2,27.26,1301.74,1315.3
LN00011,ENT0001,48,2026-05-14,1329.0,265.8,1063.2,13.7,1315.3,0.0
LN00021,ENT0002,14,2023-08-25,10918.72,0.0,10918.72,1503.05,9415.67,162360.96
LN00021,ENT0002,15,2023-09-25,10918.72,0.0,10918.72,1420.66,9498.06,152862.91
LN00021,ENT0002,16,2023-10-25,10918.72,0.0,10918.72,1337.55,9581.17,143281.74
LN00021,ENT0002,17,2023-11-25,10918.72,0.0,10918.72,1253.72,9665.0,133616.74
LN00021,ENT0002,18,2023-12-25,10918.72,0.0,10918.72,1169.15,9749.57,123867.17
LN00021,ENT0002,19,2024-01-25,10918.72,0.0,10918.72,1083.84,9834.88,114032.29
LN00021,ENT0002,20,2024-02-25,10918.72,0.0,10918.72,997.78,9920.94,104111.35
LN00021,ENT0002,21,2024-03-25,10918.72,0.0,10918.72,910.97,10007.74,94103.61
LN00021,ENT0002,22,2024-04-25,10918.72,0.0,10918.72,823.41,10095.31,84008.3
LN00021,ENT0002,23,2024-05-25,10918.72,0.0,10918.72,735.07,10183.64,73824.65
LN00021,ENT0002,24,2024-06-25,10918.72,0.0,10918.72,645.97,10272.75,63551.9
LN00021,ENT0002,25,2024-07-25,10918.72,0.0,10918.72,556.08,10362.64,53189.26
LN00021,ENT0002,26,2024-08-25,10918.72,0.0,10918.72,465.41,10453.31,42735.95
LN00021,ENT0002,27,2024-09-25,10918.72,0.0,10918.72,373.94,10544.78,32191.17
LN00021,ENT0002,28,2024-10-25,10918.72,0.0,10918.72,281.67,10637.04,21554.13
LN00021,ENT0002,29,2024-11-25,10918.72,0.0,10918.72,188.6,10730.12,10824.01
LN00021,ENT0002,30,2024-12-25,10918.72,0.0,10918.72,94.71,10824.01,0.0
LN00031,ENT0003,2,2023-08-22,9026.42,0.0,9026.42,2113.61,6912.81,174254.1
LN00031,ENT0003,3,2023-09-22,9026.42,0.0,9026.42,2032.96,6993.46,167260.65
LN00031,ENT0003,4,2023-10-22,9026.42,0.0,9026.42,1951.37,7075.05,160185.6
LN00031,ENT0003,5,2023-11-22,9026.42,0.0,9026.42,1868.83,7157.59,153028.01
LN00031,ENT0003,6,2023-12-22,9026.42,0.0,9026.42,1785.33,7241.1,145786.91
LN00031,ENT0003,7,2024-01-22,9026.42,0.0,9026.42,1700.85,7325.57,138461.34
LN00031,ENT0003,8,2024-02-22,9026.42,0.0,9026.42,1615.38,7411.04,131050.3
LN00031,ENT0003,9,2024-03-22,9026.42,0.0,9026.42,1528.92,7497.5,123552.8
LN00031,ENT0003,10,2024-04-22,9026.42,0.0,9026.42,1441.45,7584.97,115967.82
LN00031,ENT0003,11,2024-05-22,9026.42,0.0,9026.42,1352.96,7673.46,108294.36
LN00031,ENT0003,12,2024-06-22,9026.42,0.0,9026.42,1263.43,7762.99,100531.37
LN00031,ENT0003,13,2024-07-22,9026.42,0.0,9026.42,1172.87,7853.56,92677.82
LN00031,ENT0003,14,2024-08-22,9026.42,0.0,9026.42,1081.24,7945.18,84732.63
LN00031,ENT0003,15,2024-09-22,9026.42,0.0,9026.42,988.55,8037.87,76694.76
LN00031,ENT0003,16,2024-10-22,9026.42,0.0,9026.42,894.77,8131.65,68563.11
LN00031,ENT0003,17,2024-11-22,9026.42,0.0,9026.42,799.9,8226.52,60336.59
LN00031,ENT0003,18,2024-12-22,9026.42,0.0,9026.42,703.93,8322.5,52014.1
LN00031,ENT0003,19,2025-01-22,9026.42,0.0,9026.42,606.83,8419.59,43594.5
LN00031,ENT0003,20,2025-02-22,9026.42,0.0,9026.42,508.6,8517.82,35076.69
LN00031,ENT0003,21,2025-03-22,9026.42,0.0,9026.42,409.23,8617.19,26459.49
LN00031,ENT0003,22,2025-04-22,9026.42,0.0,9026.42,308.69,8717.73,17741.76
LN00031,ENT0003,23,2025-05-22,9026.42,0.0,9026.42,206.99,8819.43,8922.33
LN00031,ENT0003,24,2025-06-22,9026.42,0.0,9026.42,104.09,8922.33,0.0
LN00032,ENT0003,1,2024-09-30,8030.79,0.0,8030.79,2145.83,5884.95,200115.05
LN00032,ENT0003,2,2024-10-30,8030.79,0.0,8030.79,2084.53,5946.26,194168.79
LN00032,ENT0003,3,2024-11-30,8030.79,0.0,8030.79,2022.59,6008.2,188160.59
LN00032,ENT0003,4,2024-12-30,8030.79,0.0,8030.79,1960.01,6070.78,182089.81
LN00032,ENT0003,5,2025-01-30,8030.79,0.0,8030.79,1896.77,6134.02,175955.79
LN00032,ENT0003,6,2025-02-28,8030.79,0.0,8030.79,1832.87,6197.92,169757.88
LN00032,ENT0003,7,2025-03-30,8030.79,0.0,8030.79,1768.31,6262.48,163495.4
LN00032,ENT0003,8,2025-04-30,8030.79,0.0,8030.79,1703.08,6327.71,157167.69
LN00032,ENT0003,9,2025-05-30,8030.79,0.0,8030.79,1637.16,6393.62,150774.06
LN00032,ENT0003,10,2025-06-30,8030.79,0.0,8030.79,1570.56,6460.22,144313.84
LN00032,ENT0003,11,2025-07-30,8030.79,963.69,7067.09,1503.27,6527.52,137786.32
LN00032,ENT0003,12,2025-08-30,8030.79,963.69,7067.09,1435.27,6595.51,131190.8
LN00032,ENT0003,13,2025-09-30,8030.79,963.69,7067.09,1366.57,6664.22,124526.59
LN00032,ENT0003,14,2025-10-30,8030.79,963.69,7067.09,1297.15,6733.64,117792.95
LN00032,ENT0003,15,2025-11-30,8030.79,963.69,7067.09,1227.01,6803.78,110989.17
LN00032,ENT0003,16,2025-12-30,8030.79,963.69,7067.09,1156.14,6874.65,104114.52
LN00032,ENT0003,17,2026-01-30,8030.79,963.69,7067.09,1084.53,6946.26,97168.26
LN00032,ENT0003,18,2026-02-28,8030.79,963.69,7067.09,1012.17,7018.62,90149.64
LN00032,ENT0003,19,2026-03-30,8030.79,963.69,7067.09,939.06,7091.73,83057.91
LN00032,ENT0003,20,2026-04-30,8030.79,963.69,7067.09,865.19,7165.6,75892.31
LN00032,ENT0003,21,2026-05-30,8030.79,963.69,7067.09,790.54,7240.24,68652.07
LN00032,ENT0003,22,2026-06-30,8030.79,963.69,7067.09,715.13,7315.66,61336.4
LN00032,ENT0003,23,2026-07-30,8030.79,963.69,7067.09,638.92,7391.87,53944.54
LN00051,ENT0005,12,2023-08-22,1843.44,0.0,1843.44,507.96,1335.48,56717.07
LN00051,ENT0005,13,2023-09-22,1843.44,0.0,1843.44,496.27,1347.17,55369.9
LN00051,ENT0005,14,2023-10-22,1843.44,0.0,1843.44,484.49,1358.96,54010.94
LN00051,ENT0005,15,2023-11-22,1843.44,0.0,1843.44,472.6,1370.85,52640.1
LN00051,ENT0005,16,2023-12-22,1843.44,0.0,1843.44,460.6,1382.84,51257.25
LN00051,ENT0005,17,2024-01-22,1843.44,0.0,1843.44,448.5,1394.94,49862.31
LN00051,ENT0005,18,2024-02-22,1843.44,0.0,1843.44,436.3,1407.15,48455.16
LN00051,ENT0005,19,2024-03-22,1843.44,0.0,1843.44,423.98,1419.46,47035.7
LN00051,ENT0005,20,2024-04-22,1843.44,0.0,1843.44,411.56,1431.88,45603.82
LN00051,ENT0005,21,2024-05-22,1843.44,0.0,1843.44,399.03,1444.41,44159.41
LN00051,ENT0005,22,2024-06-22,1843.44,0.0,1843.44,386.39,1457.05,42702.36
LN00051,ENT0005,23,2024-07-22,1843.44,0.0,1843.44,373.65,1469.8,41232.57
LN00051,ENT0005,24,2024-08-22,1843.44,0.0,1843.44,360.78,1482.66,39749.91
LN00051,ENT0005,25,2024-09-22,1843.44,0.0,1843.44,347.81,1495.63,38254.28
LN00051,ENT0005,26,2024-10-22,1843.44,0.0,1843.44,334.72,1508.72,36745.56
